id,item_id,dept_id,cat_id,store_id,state_id,d_1800,d_1801,d_1802,d_1803,d_1804,d_1805,d_1806,d_1807,d_1808,d_1809,d_1810,d_1811,d_1812,d_1813,d_1814,d_1815,d_1816,d_1817,d_1818,d_1819,d_1820,d_1821,d_1822,d_1823,d_1824,d_1825,d_1826,d_1827,d_1828,d_1829,d_1830,d_1831,d_1832,d_1833,d_1834,d_1835,d_1836,d_1837,d_1838,d_1839,d_1840,d_1841,d_1842,d_1843,d_1844,d_1845,d_1846,d_1847,d_1848,d_1849,d_1850,d_1851,d_1852,d_1853,d_1854,d_1855,d_1856,d_1857,d_1858,d_1859,d_1860,d_1861,d_1862,d_1863,d_1864,d_1865,d_1866,d_1867,d_1868,d_1869,d_1870,d_1871,d_1872,d_1873,d_1874,d_1875,d_1876,d_1877,d_1878,d_1879,d_1880,d_1881,d_1882,d_1883,d_1884,d_1885,d_1886,d_1887,d_1888,d_1889,d_1890,d_1891,d_1892,d_1893,d_1894,d_1895,d_1896,d_1897,d_1898,d_1899
HOBBIES_1_157_CA_4_validation,HOBBIES_1_157,HOBBIES_1,HOBBIES,CA_4,CA,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,2,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,2,1,1,1,0,0,0,1,0,1,0,0,1,0,0,2,1,0,0,2,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,1
HOUSEHOLD_1_290_CA_4_validation,HOUSEHOLD_1_290,HOUSEHOLD_1,HOUSEHOLD,CA_4,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_1_135_TX_1_validation,FOODS_1_135,FOODS_1,FOODS,TX_1,TX,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,1,0,2,0,0,1,0,5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,2
FOODS_2_007_TX_1_validation,FOODS_2_007,FOODS_2,FOODS,TX_1,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOBBIES_1_190_TX_3_validation,HOBBIES_1_190,HOBBIES_1,HOBBIES,TX_3,TX,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOODS_3_200_TX_3_validation,FOODS_3_200,FOODS_3,FOODS,TX_3,TX,2,4,2,1,0,3,2,4,5,1,3,4,0,2,0,4,0,2,1,0,1,0,0,3,2,0,2,0,1,2,2,1,0,0,1,3,1,0,1,0,0,0,2,2,2,2,3,2,0,2,3,3,1,2,0,1,2,5,1,1,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,4,7,3,2,4,1,0,1,6,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0
HOBBIES_1_212_WI_1_validation,HOBBIES_1_212,HOBBIES_1,HOBBIES,WI_1,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HOUSEHOLD_1_243_WI_1_validation,HOUSEHOLD_1_243,HOUSEHOLD_1,HOUSEHOLD,WI_1,WI,5,2,1,1,4,1,7,4,2,5,1,2,0,0,3,3,1,3,1,3,2,4,2,2,0,3,0,2,1,7,2,0,2,2,2,4,3,2,3,1,0,1,4,3,1,5,2,0,4,2,3,4,2,4,2,1,2,2,1,0,3,3,3,2,5,1,4,2,2,1,5,2,0,2,7,1,2,4,4,0,2,1,1,2,7,2,2,2,0,0,5,3,5,2,2,1,1,2,4,3
HOUSEHOLD_2_131_WI_1_validation,HOUSEHOLD_2_131,HOUSEHOLD_2,HOUSEHOLD,WI_1,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
FOODS_3_015_WI_2_validation,FOODS_3_015,FOODS_3,FOODS,WI_2,WI,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,3,0,0,0,0,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,2,1,1,1,3,3,3,0,2,0,2,0,2,0,3,0,0,1,0,1,0,0,0,1,1,8,3,1,0,2,1,2,5,4,0,3,3,0,1,0,2
